ID,Title,Description,Price,Sale_Price,Image,Availability,Brand,Category,URL
perfume_1,عطر كوكو شانيل 100 مل,"عطر كوكو شانيل 100 مل - هدية فريدة من Emirates Gifts",352 AED,252 AED,https://m5zoon.com/public/uploads/products/1722352332177124.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_1
perfume_2,عطر جوتشي فلورا,"عطر جوتشي فلورا - هدية فريدة من Emirates Gifts",352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344963790342.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_2
perfume_3,عطر جوتشي بلوم,"عطر جوتشي بلوم - هدية فريدة من Emirates Gifts",352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344971935939.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_3
perfume_4,عطر سوفاج ديور  100 مل,"عطر سوفاج ديور  100 مل - هدية فريدة من Emirates Gifts",352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344979304336.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_4
perfume_5,عطر فرزاتشي ايروس,"عطر فرزاتشي ايروس - هدية فريدة من Emirates Gifts",352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720345001981811.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_5
perfume_6,فواحة عطرية للسيارة قابلة لإعادة الشحن,"فواحة عطرية للسيارة قابلة لإعادة الشحن - هدية فريدة من Emirates Gifts",364 AED,264 AED,https://m5zoon.com/public/uploads/products/1722352237120309.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_6
perfume_7,Eau The Audacity Penhaligons Green,"Eau The Audacity Penhaligons Green - هدية فريدة من Emirates Gifts",385 AED,285 AED,https://m5zoon.com/public/uploads/products/175669385359976.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_7
perfume_8,Eau The Audacity Penhaligons white,"Eau The Audacity Penhaligons white - هدية فريدة من Emirates Gifts",385 AED,285 AED,https://m5zoon.com/public/uploads/products/1756693962685036.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_8
perfume_9,Fleurs  Bohemes Inverness,"Fleurs  Bohemes Inverness - هدية فريدة من Emirates Gifts",385 AED,285 AED,https://m5zoon.com/public/uploads/products/1756694224611806.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_9
perfume_10,Tom Ford Vanilla Sex,"Tom Ford Vanilla Sex - هدية فريدة من Emirates Gifts",365 AED,265 AED,https://m5zoon.com/public/uploads/products/1757731212122499.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_10
perfume_11,Tom Ford Myrrhe Mystere,"Tom Ford Myrrhe Mystere - هدية فريدة من Emirates Gifts",365 AED,265 AED,https://m5zoon.com/public/uploads/products/175773127350287.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_11
perfume_12,Tom Ford Eau De Soleil Blanc,"Tom Ford Eau De Soleil Blanc - هدية فريدة من Emirates Gifts",365 AED,265 AED,https://m5zoon.com/public/uploads/products/175773142284159.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_12
perfume_13,Tom Ford Ombre Leather,"Tom Ford Ombre Leather - هدية فريدة من Emirates Gifts",365 AED,265 AED,https://m5zoon.com/public/uploads/products/1757731526832014.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_13
perfume_14,Tomber,"Tomber - هدية فريدة من Emirates Gifts",419 AED,319 AED,https://m5zoon.com/public/uploads/products/175899730567885.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_14
perfume_15,Aromatic,"Aromatic - هدية فريدة من Emirates Gifts",419 AED,319 AED,https://m5zoon.com/public/uploads/products/1758997399436910.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_15
perfume_16,Khaneen,"Khaneen - هدية فريدة من Emirates Gifts",419 AED,319 AED,https://m5zoon.com/public/uploads/products/1758997512844520.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_16
perfume_17,Paradise ( Black) 50ml,"Paradise ( Black) 50ml - هدية فريدة من Emirates Gifts",419 AED,319 AED,https://m5zoon.com/public/uploads/products/1758997664611779.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_17
